field_id,year,crop_name
osm-1044624342,2021,Corn
osm-1044624342,2022,Corn
osm-1044624342,2023,Corn
osm-1044624342,2024,Soybeans
osm-1044624342,2025,Corn
osm-1062497604,2021,Soybeans
osm-1062497604,2022,Corn
osm-1062497604,2023,Corn
osm-1062497604,2024,Corn
osm-1062497604,2025,Corn
osm-1062497609,2021,Soybeans
osm-1062497609,2022,Corn
osm-1062497609,2023,Corn
osm-1062497609,2024,Corn
osm-1062497609,2025,Corn
osm-1062497610,2021,Corn
osm-1062497610,2022,Corn
osm-1062497610,2023,Corn
osm-1062497610,2024,Corn
osm-1062497610,2025,Corn
osm-1157777856,2021,Corn
osm-1157777856,2022,Corn
osm-1157777856,2023,Corn
osm-1157777856,2024,Corn
osm-1157777856,2025,Corn
osm-1333868303,2021,Soybeans
osm-1333868303,2022,Corn
osm-1333868303,2023,Corn
osm-1333868303,2024,Corn
osm-1333868303,2025,Corn
osm-746833241,2021,Corn
osm-746833241,2022,Corn
osm-746833241,2023,Corn
osm-746833241,2024,Corn
osm-746833241,2025,Corn
osm-984977148,2021,Soybeans
osm-984977148,2022,Soybeans
osm-984977148,2023,Corn
osm-984977148,2024,Corn
osm-984977148,2025,Corn
osm-984977162,2021,Corn
osm-984977162,2022,Soybeans
osm-984977162,2023,Soybeans
osm-984977162,2024,Corn
osm-984977162,2025,Corn
